bookname,n,k,m,count1,count2,count3,user,sys,real
don-quixote,404461,3,100000,7024519,1870291,343144,692.0,36.0,1448.0
don-quixote,404461,3,500000,7024519,3636502,652066,976.0,64.0,2799.0
don-quixote,404461,4,1000,7024518,18697,1342,380.0,0.0,410.0
don-quixote,404461,4,10000,7024518,187017,12567,472.0,0.0,1444.0
don-quixote,404461,4,100000,7024518,1870303,127113,688.0,32.0,2004.0
don-quixote,404461,4,500000,7024518,9351738,644192,1800.0,56.0,5623.0
don-quixote,404461,5,1000,7024519,18679,1116,440.0,4.0,1680.0
don-quixote,404461,5,10000,7024519,187082,10577,484.0,12.0,2423.0
don-quixote,404461,5,100000,7024519,1870199,105172,708.0,16.0,1388.0
don-quixote,404461,5,500000,7024519,3554979,200316,984.0,20.0,3097.0
don-quixote,404461,6,1000,7024520,18698,1003,436.0,0.0,526.0
don-quixote,404461,6,10000,7024520,187007,10096,420.0,12.0,511.0
don-quixote,404461,6,100000,7024520,1870386,101646,712.0,40.0,1107.0
don-quixote,404461,6,500000,7024520,6247500,338796,1348.0,56.0,2656.0
don-quixote,404461,7,1000,7024521,18698,1002,432.0,8.0,697.0
don-quixote,404461,7,10000,7024521,187084,10058,468.0,8.0,1527.0
don-quixote,404461,7,100000,7024521,1870693,100778,744.0,16.0,1502.0
don-quixote,404461,7,500000,7024521,7076726,381764,1576.0,16.0,3959.0
madame-bovary,112972,2,1000,1796267,16852,9966,100.0,4.0,126.0
madame-bovary,112972,2,10000,1796267,168613,123435,120.0,4.0,166.0
madame-bovary,112972,2,100000,1796267,968168,708407,292.0,12.0,1711.0
madame-bovary,112972,2,500000,1796267,645935,471281,132.0,8.0,168.0
madame-bovary,112972,3,1000,1796277,16862,1326,100.0,12.0,156.0
madame-bovary,112972,3,10000,1796277,168637,12746,132.0,0.0,300.0
madame-bovary,112972,3,100000,1796277,1686278,129988,296.0,0.0,434.0
madame-bovary,112972,3,500000,1796277,1647356,128240,304.0,8.0,724.0
madame-bovary,112972,4,1000,1796279,16863,1029,132.0,0.0,259.0
madame-bovary,112972,4,10000,1796279,168650,10350,128.0,0.0,168.0
madame-bovary,112972,4,100000,1796279,645912,39929,240.0,0.0,654.0
madame-bovary,112972,4,500000,1796279,67301,4220,128.0,0.0,379.0
madame-bovary,112972,5,1000,1796279,16856,1001,104.0,8.0,468.0
madame-bovary,112972,5,10000,1796279,168556,10060,124.0,8.0,366.0
madame-bovary,112972,5,100000,1796279,1686275,100397,328.0,4.0,1151.0
